lake,date,depth,temp,spcond,ph,do,do.mgl
craine,9/20/2022,0,20.8,0.252,8.24,84,7.5
craine,9/20/2022,2,20.79,0.252,8.16,83,7.42
craine,9/20/2022,4,20.71,0.254,8.08,78.2,7
craine,9/20/2022,6,19.94,0.305,7.61,33,2.97
craine,9/20/2022,8,13.05,0.51,6.75,7.8,0.81
craine,9/20/2022,9,12.05,0.592,6.48,2.8,0.29
craine,10/13/2022,0,14.4,0.268,6.79,194.1,19.96
craine,10/13/2022,1,14.39,0.268,6.67,190.1,19.41
craine,10/13/2022,2,14.39,0.268,6.71,189.1,19.21
craine,10/13/2022,3,14.39,0.268,6.73,188.6,19.25
craine,10/13/2022,4,14.39,0.268,6.78,187.5,19.15
craine,10/13/2022,5,14.38,0.268,6.77,183.6,18.75
craine,10/13/2022,6,14.14,0.271,6.64,153.1,15.7
craine,10/13/2022,7,14.03,0.279,6.54,104.3,10.76
craine,10/13/2022,8,13.94,0.378,5.96,35.1,3.55
craine,3/25/2023,0,5.35,0.32,7.65,93.8,11.98
craine,3/25/2023,1,5.35,0.32,7.74,100.8,12.75
craine,3/25/2023,2,5.34,0.32,7.76,102.3,12.94
craine,3/25/2023,3,5.31,0.32,7.76,103.3,13.08
craine,3/25/2023,4,5.28,0.32,7.77,103.7,13.14
craine,3/25/2023,5,5.28,0.32,7.79,104.6,13.25
craine,3/25/2023,6,5.29,0.32,7.8,105,13.31
craine,3/25/2023,7,5.27,0.32,7.81,105.3,13.34
craine,3/25/2023,8,5.26,0.321,7.81,105.4,13.35
craine,3/25/2023,9,5.09,0.339,7.01,47.3,5.97
craine,4/10/2023,0,9.03,0.33,7.74,105.8,12.16
craine,4/10/2023,1,9.09,0.33,7.9,106.3,12.24
craine,4/10/2023,2,9.07,0.33,8.17,105.2,12.12
craine,4/10/2023,3,9.08,0.33,8.23,104.8,12.08
craine,4/10/2023,4,8.74,0.334,8.22,103.9,12.07
craine,4/10/2023,5,7.96,0.331,8.21,103.2,12.2
craine,4/10/2023,6,7.6,0.331,8.21,100.2,11.98
craine,4/10/2023,7,7.09,0.332,8.15,98.7,11.93
craine,4/10/2023,8,6.49,0.336,7.94,92.2,11.32
craine,4/10/2023,9,6.41,0.353,7.46,37.3,4.58
craine,4/30/2023,0,13.14,0.332,8.18,88.7,9.3
craine,4/30/2023,1,13.13,0.333,8.23,90.5,9.5
craine,4/30/2023,2,13.12,0.333,8.24,91.2,9.56
craine,4/30/2023,3,13.01,0.334,8.23,91.2,9.58
craine,4/30/2023,4,11.57,0.336,8.15,95.7,10.38
craine,4/30/2023,5,9.65,0.335,8.18,92.8,10.59
craine,4/30/2023,6,8.55,0.337,8.05,91.5,10.64
craine,4/30/2023,7,7.66,0.347,7.59,83,9.55
craine,4/30/2023,8,7.31,0.358,7.36,59.2,7.09
craine,4/30/2023,9,7.15,0.366,7.26,39.8,4.49
craine,5/16/2023,0,18.15,0.334,8.35,109,10.35
craine,5/16/2023,1,18.06,0.334,7.93,114.4,10.81
craine,5/16/2023,2,17.97,0.334,7.91,114.6,10.86
craine,5/16/2023,3,17.06,0.334,7.89,116.2,11.23
craine,5/16/2023,4,14.12,0.326,8.03,124.6,12.72
craine,5/16/2023,5,11.87,0.327,8.02,135.9,14.7
craine,5/16/2023,6,9.51,0.334,7.74,125,14.26
craine,5/16/2023,7,8.65,0.351,7.12,60.6,7.03
craine,5/16/2023,8,8.15,0.357,7.13,34.4,4.04
craine,5/16/2023,9,7.96,0.371,6.97,21.5,2.52
craine,6/21/2023,0,23.02,0.302,8.09,124.5,10.68
craine,6/21/2023,2,21.81,0.303,8.09,125.8,11.04
craine,6/21/2023,4,19.95,0.309,7.88,119.6,10.87
craine,6/21/2023,6,13.1,0.338,7.12,96.4,10.15
craine,6/21/2023,8,9.31,0.382,6.59,3.5,0.38
craine,6/21/2023,9,8.78,0.422,6.37,1.8,0.21
craine,8/24/2023,0,22.88,0.242,7.58,97,8.33
craine,8/24/2023,1,22.88,0.242,8.15,96.8,8.31
craine,8/24/2023,2,22.87,0.242,8.23,96.3,8.27
craine,8/24/2023,3,22.86,0.242,8.23,96.1,8.26
craine,8/24/2023,4,22.84,0.242,8.21,95.8,8.23
craine,8/24/2023,5,20.48,0.307,7.78,95.8,8.59
craine,8/24/2023,6,18.04,0.376,7.39,23,2.09
craine,8/24/2023,7,14.56,0.369,7.65,47.2,4.73
craine,8/24/2023,8,11.89,0.429,7.17,29.6,2.77
craine,8/24/2023,9,11.25,0.549,6.5,6.5,0.73
craine,9/2/2023,0,23.35,0.248,8.25,99.8,8.53
craine,9/2/2023,2,22.02,0.248,8.11,99.3,8.68
craine,9/2/2023,4,21.59,0.249,7.88,95.6,8.41
craine,9/2/2023,6,19,0.361,7.26,29.7,2.62
craine,9/2/2023,8,12.09,0.433,6.73,12.7,1.36
craine,9/2/2023,9,10.49,0.566,6.4,7.7,0.84
craine,10/12/2023,0,16.29,0.272,7.89,74.3,7.25
craine,10/12/2023,2,15.97,0.272,7.81,70.9,6.99
craine,10/12/2023,4,15.9,0.272,7.81,69.3,6.85
craine,10/12/2023,6,15.79,0.274,7.77,67.4,6.66
craine,10/12/2023,8,13.62,0.497,6.62,34.5,3.44
craine,10/12/2023,9,11.75,0.626,6.63,19.7,2.08
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
craine,,,,,,,
